source,target,weight
howtogetback,lisaesimpkins,2
pscoach,harryharley,1
pscoach,mnmissy,1
pscoach,cowboyjdanos,1
pscoach,nickman611,1
pscoach,sarahhorvat,1
djbacktrack,carpediem52,1
djbacktrack,kendrathornbury,1
djbacktrack,bersheba,1
djbacktrack,anewdayrehab,1
djbacktrack,johnfmoore,1
djbacktrack,grethe56,1
djbacktrack,candywwgm,1
jhillstephens,sam_h786,2
jhillstephens,topgunner,2
jhillstephens,dtagurit,2
jhillstephens,loubyloubyloux,2
jhillstephens,muzik_man,3
jhillstephens,rbellrb,2
jhillstephens,weschicklit,3
jhillstephens,tori_da,2
usagrassroots,bipolarsmom2,1
usagrassroots,happiestgirl69,1
dcc1234,dawnmariels,1
dcc1234,nachhi,1
digitalchiro,grantgriffiths,1
jimpish,mmangen,1
jimpish,jimquillen,1
caldinha,centerpet,1
caldinha,artfullife4,1
caldinha,zoexdog,1
caldinha,lomac619,1
caldinha,maddybasset,1
caldinha,camp_bow_wow,1
caldinha,lolabt,1
caldinha,buddydogcast,1
transfergroup,karalee_,1
diversevents,junucreations,1
diversevents,randomretweet,1
diversevents,brandylele,1
diversevents,lillyqueen,1
diversevents,nomadcraftsetc,1
diversevents,scottwilliams,1
asevideo,pscoach,2
asevideo,alexasangels,1
asevideo,lovepeacehappi,1
asevideo,weizenbaum,1
asevideo,luisgalarza,1
asevideo,1sweetwhirl,1
asevideo,onceatweeter,1
txponygirl,hughdeburgh,2
txponygirl,blanquis26,2
txponygirl,susancosmos,2
txponygirl,znatrainer,2
shoelover79,librarianidol,1
shoelover79,themonkeyboy,1
shoelover79,lukeii,1
shoelover79,lilylauren,1
shoelover79,andrewsayer,1
mrcarl007,dawnmariels,1
mrcarl007,tamaraschilling,1
icicle_halo_,katofawesome,1
busyme,jawar,1
ladyw87,jawar,1
nicolejensen,katofawesome,1
aysunakarsu,avinio,1
lionofheaven,ladyw87rt,1
lionofheaven,jawar,1
ddkurcfeld,xceptn,1
ddkurcfeld,quotesource,1
suzannemc7,busyme,1
suzannemc7,jawar,1
bunnykins2,jawar,1
sassystace,whitsundays,1
sassystace,valenzetti,1
sassystace,maheshkukre,1
sassystace,zoooni,1
sassystace,ozozozoioioi,1
sassystace,silkytooth,1
sassystace,thegazzman,1
the_rooster,hertzog,1
the_rooster,stefaanlesage,1
the_rooster,ghostwritermc,1
the_rooster,greg_allhailale,1
the_rooster,knightwise,1
the_rooster,tom125,1
the_rooster,davegray,1
the_rooster,dreamsight,1
the_rooster,tm2176,1
the_rooster,2schooners,1
bigsexyneil,comedybint,1
drjennifer,amandarobins,3
drjennifer,jackiepurnell,2
drjennifer,heartwork,1
drjennifer,scholarjack,1
drjennifer,christinerob,1
patient_warrior,redrobinrockn,1
patient_warrior,armymom101,1
patient_warrior,visionsxpressed,1
patient_warrior,ladonnaloehrke,1
patient_warrior,cathrinefeehely,1
patient_warrior,dlwilsonsworld,1
patient_warrior,bretta75,1
patient_warrior,missmom57,1
drjennifer,weizenbaum,1
drjennifer,cindygolding,1
drjennifer,guynapper,1
drjennifer,g_nizz,1
drjennifer,tap29,1
drjennifer,teamwinnipeg,1
drjennifer,gdwg_moosed,1
drjennifer,fuhse_gurph,1
drjennifer,teresamerica,1
chynagyrl1980,jawar,1
k3llyt,xianglee83,1
k3llyt,vickyrao,1
k3llyt,jasonmumbles,1
k3llyt,johnathanjthomp,1
k3llyt,goaskmay,1
